n,p030,p040,p045,p048,p049
146,2.825120701318768,4.207927872141441,6.893282491396716,14.671340434945595,26.16670535380914
147,2.8251207013187676,4.207927872141443,6.893282595718833,14.672630489909148,26.19291202112446
148,2.8251207013187676,4.207927872141447,6.893282689608737,14.673868938309086,26.21859401544912
149,2.8251207013187676,4.2079278721414495,6.893282774109651,14.675057844750892,26.24376185266057
150,2.825120701318768,4.207927872141451,6.8932828501604755,14.676199191228863,26.268425837366355
151,2.825120701318768,4.207927872141453,6.893282918606215,14.677294880432685,26.2925960671713
152,2.825120701318768,4.207927872141454,6.893282980207383,14.678346738921558,26.316282436857385
153,2.8251207013187685,4.207927872141455,6.893283035648433,14.67935652017123,26.339494642478233
154,2.8251207013187685,4.207927872141456,6.893283085545377,14.680325907498993,26.36224218536997
155,2.825120701318769,4.207927872141457,6.893283130452627,14.681256516871548,26.384534376080236
156,2.825120701318769,4.207927872141457,6.89328317086915,14.682149899600434,26.406380338217005
157,2.8251207013187694,4.2079278721414575,6.893283207244023,14.683007544929545,26.427789012218994
158,2.8251207013187694,4.207927872141458,6.893283239981407,14.68383088251901,26.44876915904917
159,2.82512070131877,4.207927872141459,6.893283269445053,14.684621284829664,26.469329363813095
160,2.82512070131877,4.207927872141459,6.893283295962334,14.685380069412023,26.489478039303588
161,2.8251207013187702,4.207927872141459,6.893283319827888,14.68610850110364,26.509223429473266
162,2.8251207013187702,4.207927872141459,6.893283341306887,14.686807794138472,26.52857361283643
163,2.8251207013187707,4.207927872141459,6.893283360637985,14.687479114171829,26.547536505801855
164,2.8251207013187702,4.207927872141459,6.893283378035974,14.68812358022424,26.566119865937804
165,2.8251207013187702,4.207927872141459,6.893283393694165,14.688742266547527,26.584331295170777
166,2.8251207013187702,4.207927872141459,6.893283407786535,14.689336204416168,26.602178242919262
167,2.82512070131877,4.207927872141458,6.8932834204696665,14.689906383846964,26.619668009163906
168,2.82512070131877,4.207927872141459,6.8932834318844876,14.690453755249871,26.63680774745544
169,2.8251207013187702,4.207927872141459,6.893283442157825,14.690979231012754,26.65360446786154
170,2.8251207013187702,4.207927872141459,6.893283451403831,14.691483687022728,26.670065039854002
171,2.8251207013187702,4.207927872141459,6.893283459725235,14.691967964126592,26.686196195137374
